微信支付账单明细列表
微信昵称：[测试用户]
起始时间：[2026-08-01 00:00:00]
终止时间：[2026-08-17 23:59:59]
导出类型：[全部]
导出时间：[2026-08-17 22:00:00]
共5笔记录
收入：1笔 200.00元
支出：2笔 100.00元
中性交易：2笔 1050.00元
----------------------交易记录列表----------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-08-15 12:30:45,商户消费,美团平台,美团外卖,支出,¥35.50,零钱,支付成功,10001001001,20002002001,
2026-08-15 19:20:11,转账,张三,,收入,¥200.00,零钱,已存入零钱,10001001002,,
2026-08-16 09:15:00,商户消费,滴滴出行,快车,支出,¥64.50,招商银行储蓄卡(1234),支付成功,10001001003,20002002003,
2026-08-16 10:00:00,理财通购买,,理财通货币基金,不计收支,¥1000.00,零钱,支付成功,10001001004,,
2026-08-17 08:30:00,转账,李四,转账,支出,¥50.00,零钱,退款成功,10001001005,,
